2014-01-07 21:03:48 install lsb-base:all <none> 4.1+Debian8+rpi1
2014-01-07 21:03:48 status half-installed lsb-base:all 4.1+Debian8+rpi1
2014-01-07 21:03:48 status unpacked lsb-base:all 4.1+Debian8+rpi1
2014-01-07 21:03:48 status unpacked lsb-base:all 4.1+Debian8+rpi1
2014-01-07 21:03:48 install makedev:all <none> 2.3.1-92
2014-01-07 21:03:48 status half-installed makedev:all 2.3.1-92
2014-01-07 21:03:49 status unpacked makedev:all 2.3.1-92
2014-01-07 21:03:49 status unpacked makedev:all 2.3.1-92
2014-01-07 21:03:50 upgrade mawk:armhf 1.3.3-17 1.3.3-17
2014-01-07 21:03:50 status half-configured mawk:armhf 1.3.3-17
2014-01-07 21:03:50 status unpacked mawk:armhf 1.3.3-17
2014-01-07 21:03:50 status half-installed mawk:armhf 1.3.3-17
2014-01-07 21:03:50 status half-installed mawk:armhf 1.3.3-17
2014-01-07 21:03:50 status unpacked mawk:armhf 1.3.3-17
2014-01-07 21:03:50 status unpacked mawk:armhf 1.3.3-17
2014-01-07 21:03:50 install mount:armhf <none> 2.20.1-5.3
2014-01-07 21:03:50 status half-installed mount:armhf 2.20.1-5.3
2014-01-07 21:03:50 status unpacked mount:armhf 2.20.1-5.3
2014-01-07 21:03:50 status unpacked mount:armhf 2.20.1-5.3
2014-01-07 21:03:50 install mountall:armhf <none> 2.46
2014-01-07 21:03:51 status half-installed mountall:armhf 2.46
2014-01-07 21:03:51 status unpacked mountall:armhf 2.46
2014-01-07 21:03:51 status unpacked mountall:armhf 2.46
2014-01-07 21:03:51 install multiarch-support:armhf <none> 2.13-38+rpi2
2014-01-07 21:03:51 status half-installed multiarch-support:armhf 2.13-38+rpi2
2014-01-07 21:03:51 status unpacked multiarch-support:armhf 2.13-38+rpi2
2014-01-07 21:03:51 status unpacked multiarch-support:armhf 2.13-38+rpi2
2014-01-07 21:03:51 install ncurses-base:all <none> 5.9-10
2014-01-07 21:03:51 status half-installed ncurses-base:all 5.9-10
2014-01-07 21:03:52 status unpacked ncurses-base:all 5.9-10
2014-01-07 21:03:52 status unpacked ncurses-base:all 5.9-10
2014-01-07 21:03:52 install ncurses-bin:armhf <none> 5.9-10
2014-01-07 21:03:52 status half-installed ncurses-bin:armhf 5.9-10
